id,label,expiration_date,value,state
fRmyACPBLEGpwD3xkQm7Ph,2022-09-0001,2022-09-30,5,0
Zu5d6A7NAJ2QWWcVDNfUC7,2022-09-0002,2022-09-30,5,0
BTgmyoNZtJrxDkxSLJjkTL,2022-09-0003,2022-09-30,10,0
TWmcrypRrhbsrjhs373jBr,2022-09-0004,2022-09-30,10,0
EDjNFhcAnUXCeRKTbKHuet,2022-09-0005,2022-09-30,25,0
2ZqVbbGSrCcLmWqoXNfmtz,2022-09-0006,2022-09-30,25,0
AzcbpngqL7wTEvhTKeLYGR,2022-09-0007,2022-09-30,5,0
M8UFhvJQErq2h4k48EZUDZ,2022-09-0008,2022-09-30,5,0
cNPN5qNLERBetKCX7UK4Wo,2022-09-0009,2022-09-30,10,0
fvRDRcBYBXxkmif5aqx3wj,2022-09-0010,2022-09-30,10,0
DwnLvWiCX6bh8wZNLGE6am,2022-09-0011,2022-09-30,25,0
T63ydb9SdbLVQp3uPBSX67,2022-09-0012,2022-09-30,25,0
k7QgGHgUsanLxC4gVmAqRr,2022-09-0013,2022-09-30,5,0
2HHVbi6PyDY7c4sSJjK2Si,2022-09-0014,2022-09-30,5,0
LgC9QxS9f2DG6MqWMuLaLS,2022-09-0015,2022-09-30,10,0
8YiuKohrsqWasEXULbcxy7,2022-09-0016,2022-09-30,10,0
K6vqpKSbFz6Y7NFjwM3CXa,2022-09-0017,2022-09-30,25,0
WgrJ9548TEHY4e9JEdKTbU,2022-09-0018,2022-09-30,25,0
9ZW3WN5a8dXtV7MWGRZYtG,2022-09-0019,2022-09-30,5,0
io6FQPoKkAgfnv4bddiZpk,2022-09-0020,2022-09-30,5,0
SssCfjsa95RPHAF4gZVqyi,2022-09-0021,2022-09-30,10,0
CS7fQ6TbLmNFfwBifUVnGs,2022-09-0022,2022-09-30,10,0
Dutzwvz8Vs4dTKrUe5gBBZ,2022-09-0023,2022-09-30,25,0
FTo3NrHjnnEQYWeMR37mLi,2022-09-0024,2022-09-30,25,0
kTm8w4DQP7Yscfyk3NqMRM,2022-09-0025,2022-09-30,5,0
arEtvQddJC8gQyLY3Ckxjr,2022-09-0026,2022-09-30,5,0
8zBMuLgyFQ8bHyy52kraoG,2022-09-0027,2022-09-30,10,0
dFdeCupESQKoaU8ap9rWyG,2022-09-0028,2022-09-30,10,0
2Z3NtiZBJaDU6ikVQ6V2rZ,2022-09-0029,2022-09-30,25,0
KfWBybEdfYUiy3FkqgzWSW,2022-09-0030,2022-09-30,25,0
ZnvQQbtv6NVsC6dsZo7NQ9,2022-09-0031,2022-09-30,5,0
kUXSkUhcSJ5C69FmtVqeyW,2022-09-0032,2022-09-30,5,0
