id,label,expiration_date,value,state
001-ef5JFLFBQzBEpnJZTGpsFx,001-ef5JFLFBQzBEpnJZTGpsFx,2022-11-30,20,0
002-UNtzqrYUny4MMDTE9ahkfn,002-UNtzqrYUny4MMDTE9ahkfn,2022-11-30,20,0
003-MZPDupso8Pznp8LEf4ponw,003-MZPDupso8Pznp8LEf4ponw,2022-11-30,20,0
004-3Ri3crxy38UQyYyueidmaJ,004-3Ri3crxy38UQyYyueidmaJ,2022-11-30,20,0
005-Lka3XL4mY2wzNLtWVRNfxT,005-Lka3XL4mY2wzNLtWVRNfxT,2022-11-30,20,0
006-7nBmPHenkrgNYu4H4EPwKJ,006-7nBmPHenkrgNYu4H4EPwKJ,2022-11-30,20,0
007-RFffESQoq8UY6umHfm4kxP,007-RFffESQoq8UY6umHfm4kxP,2022-11-30,20,0
008-UTUfKuUmjG9QptDEf3GNYT,008-UTUfKuUmjG9QptDEf3GNYT,2022-11-30,20,0
009-YwvUNcT9bURE4mLHMmGvqX,009-YwvUNcT9bURE4mLHMmGvqX,2022-11-30,20,0
010-NgFQmXzSYvuGrDBMauriMq,010-NgFQmXzSYvuGrDBMauriMq,2022-11-30,20,0
011-aBPCrGBfdetShqouUxYfiQ,011-aBPCrGBfdetShqouUxYfiQ,2022-11-30,20,0
012-JxdRYN54Dp5HCvWqh2mPpx,012-JxdRYN54Dp5HCvWqh2mPpx,2022-11-30,20,0
013-Srp8CftVbWd5mHWgvSkwcR,013-Srp8CftVbWd5mHWgvSkwcR,2022-11-30,20,0
014-kigLrTxz7YQpmnLSRSdaCR,014-kigLrTxz7YQpmnLSRSdaCR,2022-11-30,20,0
015-RepKRJbwo5A4QfTQQFrsJa,015-RepKRJbwo5A4QfTQQFrsJa,2022-11-30,20,0
016-nJS4qMucEH7h4xATSQyoHd,016-nJS4qMucEH7h4xATSQyoHd,2022-11-30,20,0
017-TD5S6evox5CipRaup4Uy8i,017-TD5S6evox5CipRaup4Uy8i,2022-11-30,20,0
018-CKpNQHeRw38JGDXqA2isa4,018-CKpNQHeRw38JGDXqA2isa4,2022-11-30,20,0
019-dQ4XvemrVg4bJV43BPdDsd,019-dQ4XvemrVg4bJV43BPdDsd,2022-11-30,20,0
020-5cwYzrmgHy5D2J2hBWQkk6,020-5cwYzrmgHy5D2J2hBWQkk6,2022-11-30,20,0
021-daUNieDH5fwQconjTM3T7Z,021-daUNieDH5fwQconjTM3T7Z,2022-11-30,20,0
022-5NPQNfe9KfKfPR7EPPjfoM,022-5NPQNfe9KfKfPR7EPPjfoM,2022-11-30,20,0
023-RtZwMQ69rUWuMzk5odrPpL,023-RtZwMQ69rUWuMzk5odrPpL,2022-11-30,20,0
024-cddEbGuEMAfKnUQtEpraz9,024-cddEbGuEMAfKnUQtEpraz9,2022-11-30,20,0
025-RadcVJtm5WDzadFtUWtBCk,025-RadcVJtm5WDzadFtUWtBCk,2022-11-30,20,0
026-abD8DmH3boRLkLK4GKXr98,026-abD8DmH3boRLkLK4GKXr98,2022-11-30,20,0
027-GxB6ZRMAkThh6b8p7Xddi8,027-GxB6ZRMAkThh6b8p7Xddi8,2022-11-30,20,0
028-8meRMRNBeKCgLinUtFH4EU,028-8meRMRNBeKCgLinUtFH4EU,2022-11-30,20,0
029-9oaWwB5rt2ptc3uvebe7yv,029-9oaWwB5rt2ptc3uvebe7yv,2022-11-30,20,0
030-TeHi9NEy7hYZxYCYVoSsZW,030-TeHi9NEy7hYZxYCYVoSsZW,2022-11-30,20,0
031-YZqhKUpUK49q3gdsDFt8u7,031-YZqhKUpUK49q3gdsDFt8u7,2022-11-30,20,0
032-X2xQBdFGuvwNCkYtZBw5cU,032-X2xQBdFGuvwNCkYtZBw5cU,2022-11-30,20,0
033-7moqjKe9abRCDdfcS7qEpy,033-7moqjKe9abRCDdfcS7qEpy,2022-11-30,20,0
034-bcJMaxt38r5oQo78SAedEP,034-bcJMaxt38r5oQo78SAedEP,2022-11-30,20,0
035-FQWJygssAc9DBNCugULkpF,035-FQWJygssAc9DBNCugULkpF,2022-11-30,20,0
036-b5Ekycxp97uKjzwKRadyya,036-b5Ekycxp97uKjzwKRadyya,2022-11-30,20,0
037-869xfxyJgGcu2Jy2tPFPY3,037-869xfxyJgGcu2Jy2tPFPY3,2022-11-30,20,0
038-kNBuxFBnhdmtXfNw3sAV4j,038-kNBuxFBnhdmtXfNw3sAV4j,2022-11-30,20,0
039-5S5KwNsuUBBm7jnKSUsZgR,039-5S5KwNsuUBBm7jnKSUsZgR,2022-11-30,20,0
