id,label,expiration_date,value,state
0001-KEWEL,0001-KEWEL,2023-08-31,20,0
0002-VRJQV,0002-VRJQV,2023-08-31,20,0
0003-CIANO,0003-CIANO,2023-08-31,20,0
0004-TCXHA,0004-TCXHA,2023-08-31,20,0
0005-DZQLR,0005-DZQLR,2023-08-31,20,0
0006-IOESC,0006-IOESC,2023-08-31,20,0
0007-NJKEK,0007-NJKEK,2023-08-31,20,0
0008-JYEDO,0008-JYEDO,2023-08-31,20,0
0009-OMFPQ,0009-OMFPQ,2023-08-31,20,0
0010-SRLOB,0010-SRLOB,2023-08-31,20,0
0011-DWGGI,0011-DWGGI,2023-08-31,20,0
0012-XUBAG,0012-XUBAG,2023-08-31,20,0
0013-NGZGS,0013-NGZGS,2023-08-31,20,0
0014-VXOKY,0014-VXOKY,2023-08-31,20,0
0015-KTHAG,0015-KTHAG,2023-08-31,20,0
0016-PINQC,0016-PINQC,2023-08-31,20,0
0017-LVHLL,0017-LVHLL,2023-08-31,20,0
0018-BZKMP,0018-BZKMP,2023-08-31,20,0
0019-OVBUZ,0019-OVBUZ,2023-08-31,20,0
0020-EXJCR,0020-EXJCR,2023-08-31,20,0
0021-NLZUD,0021-NLZUD,2023-08-31,20,0
0022-OHWIP,0022-OHWIP,2023-08-31,20,0
0023-MZPNC,0023-MZPNC,2023-08-31,20,0
0024-ZTJJF,0024-ZTJJF,2023-08-31,20,0
0025-TNTTN,0025-TNTTN,2023-08-31,20,0
0026-CYNDM,0026-CYNDM,2023-08-31,20,0
0027-RRFYH,0027-RRFYH,2023-08-31,20,0
0028-IZOMF,0028-IZOMF,2023-08-31,20,0
0029-CQCBA,0029-CQCBA,2023-08-31,20,0
0030-NAUHM,0030-NAUHM,2023-08-31,20,0
0031-QLUSB,0031-QLUSB,2023-08-31,20,0
0032-FXEJO,0032-FXEJO,2023-08-31,20,0
0033-ECBTS,0033-ECBTS,2023-08-31,20,0
0034-YUQNV,0034-YUQNV,2023-08-31,20,0
0035-IIUFW,0035-IIUFW,2023-08-31,20,0
0036-LJKCG,0036-LJKCG,2023-08-31,20,0
0037-MEOZF,0037-MEOZF,2023-08-31,20,0
0038-UWMGT,0038-UWMGT,2023-08-31,20,0
0039-XBYJP,0039-XBYJP,2023-08-31,20,0
0040-NGHXE,0040-NGHXE,2023-08-31,20,0
0041-PCRUY,0041-PCRUY,2023-08-31,20,0
0042-WUIZG,0042-WUIZG,2023-08-31,20,0
0043-VOXVC,0043-VOXVC,2023-08-31,20,0
0044-ISUDE,0044-ISUDE,2023-08-31,20,0
0045-DBLXV,0045-DBLXV,2023-08-31,20,0
0046-QOKDI,0046-QOKDI,2023-08-31,20,0
0047-ZATWT,0047-ZATWT,2023-08-31,20,0
0048-CBZDD,0048-CBZDD,2023-08-31,20,0
0049-NJSPM,0049-NJSPM,2023-08-31,20,0
0050-QBOQR,0050-QBOQR,2023-08-31,20,0
0051-WXEKC,0051-WXEKC,2023-08-31,20,0
0052-DHQVT,0052-DHQVT,2023-08-31,20,0
0053-AAIRG,0053-AAIRG,2023-08-31,20,0
0054-TVCUY,0054-TVCUY,2023-08-31,20,0
0055-DEIMC,0055-DEIMC,2023-08-31,20,0
